home_tract,work_tract,flow_jobs
31019969203,31055007436,2
31019969203,31055007439,1
31019969203,31055007442,1
31019969203,31055007444,2
31019969203,31055007445,1
31019969203,31055007448,1
31019969203,31055007449,5
31019969203,31055007450,1
31019969203,31055007451,1
31019969203,31055007452,1
31019969203,31055007462,2
31019969203,31055007466,2
31019969203,31055007470,1
31019969203,31055007474,3
31019969203,31055007506,1
31019969203,31055007519,1
31019969203,31055007520,1
31019969203,31055007524,3
31019969204,31055000400,2
31019969204,31055001600,4
31019969204,31055001800,2
31019969204,31055002900,2
31019969204,31055003100,2
31019969204,31055004200,2
31019969204,31055004300,2
31019969204,31055004400,1
31019969204,31055004800,1
31019969204,31055005100,1
31019969204,31055006202,1
31019969204,31055006302,1
31019969204,31055006505,1
31019969204,31055006701,4
31019969204,31055006703,2
31019969204,31055006803,1
31019969204,31055007001,3
31019969204,31055007101,1
31019969204,31055007102,1
31019969204,31055007317,1
31019969204,31055007318,1
31019969204,31055007320,1
31019969204,31055007409,9
31019969204,31055007439,2
31019969204,31055007443,3
31019969204,31055007444,4
31019969204,31055007445,1
31019969204,31055007449,6
31019969204,31055007451,2
31019969204,31055007452,1
31019969204,31055007464,1
31019969204,31055007466,1
31019969204,31055007467,1
31019969204,31055007471,1
31019969204,31055007473,2
31019969204,31055007474,1
31019969204,31055007504,1
31019969204,31055007506,1
31019969204,31055007509,1
31019969204,31055007516,1
31019969204,31055007518,1
31019969204,31055007520,1
31019969204,31055007521,1
31019969204,31055007524,1
31019969300,31055000400,1
31019969300,31055001600,2
31019969300,31055002500,1
31019969300,31055002900,1
31019969300,31055003100,1
31019969300,31055004200,1
31019969300,31055004300,1
31019969300,31055004400,1
31019969300,31055006504,1
31019969300,31055006701,2
31019969300,31055006703,1
31019969300,31055006803,3
31019969300,31055007003,1
31019969300,31055007102,1
31019969300,31055007312,1
31019969300,31055007409,4
31019969300,31055007429,1
31019969300,31055007443,1
31019969300,31055007449,1
31019969300,31055007454,2
31019969300,31055007462,1
31019969300,31055007464,1
31019969300,31055007504,1
31019969300,31055007515,2
31019969300,31055007520,1
31019969400,31055000500,4
31019969400,31055001600,3
31019969400,31055001800,1
31019969400,31055002100,1
31019969400,31055002900,2
31019969400,31055004000,1
31019969400,31055004200,2
31019969400,31055004400,3
31019969400,31055004800,2
31019969400,31055006400,1
31019969400,31055006504,1
31019969400,31055006505,1
31019969400,31055006605,1
31019969400,31055006703,1
31019969400,31055006803,1
31019969400,31055006806,1
31019969400,31055006905,1
31019969400,31055007001,3
31019969400,31055007003,3
31019969400,31055007101,1
31019969400,31055007317,1
31019969400,31055007318,1
31019969400,31055007406,1
31019969400,31055007409,7
31019969400,31055007431,2
31019969400,31055007432,1
31019969400,31055007439,2
31019969400,31055007441,1
31019969400,31055007444,1
31019969400,31055007445,3
31019969400,31055007448,1
31019969400,31055007449,1
31019969400,31055007454,2
31019969400,31055007457,1
31019969400,31055007459,1
31019969400,31055007464,1
31019969400,31055007474,1
31019969400,31055007506,1
31019969400,31055007509,2
31019969400,31055007514,1
31019969400,31055007520,1
31019969400,31055007524,2
31019969500,31055000200,1
31019969500,31055000500,1
31019969500,31055001600,1
31019969500,31055003300,1
31019969500,31055004400,1
31019969500,31055006400,1
31019969500,31055006606,1
31019969500,31055006701,1
31019969500,31055006806,1
31019969500,31055007001,2
31019969500,31055007003,2
31019969500,31055007409,5
31019969500,31055007439,1
31019969500,31055007444,1
31019969500,31055007448,1
31019969500,31055007474,2
31019969500,31055007520,1
31019969600,31055000500,3
31019969600,31055001600,1
31019969600,31055001800,5
31019969600,31055002900,1
31019969600,31055003100,4
31019969600,31055003200,1
31019969600,31055003300,1
31019969600,31055004000,2
31019969600,31055004200,1
31019969600,31055004400,2
31019969600,31055006400,1
31019969600,31055006504,1
31019969600,31055006605,1
31019969600,31055006701,2
31019969600,31055006806,2
31019969600,31055006906,1
31019969600,31055007001,1
31019969600,31055007003,2
31019969600,31055007101,1
31019969600,31055007406,1
31019969600,31055007407,1
31019969600,31055007409,9
31019969600,31055007431,2
31019969600,31055007439,2
31019969600,31055007443,5
31019969600,31055007445,1
31019969600,31055007449,4
31019969600,31055007454,2
31019969600,31055007457,1
31019969600,31055007460,1
31019969600,31055007467,1
31019969600,31055007470,1
31019969600,31055007471,1
31019969600,31055007472,1
31019969600,31055007473,1
31019969600,31055007474,3
31019969600,31055007504,1
31019969600,31055007506,2
31019969600,31055007516,1
31019969600,31055007518,1
31019969600,31055007519,1
31019969600,31055007520,2
31019969600,31055007524,2
31019969700,31055000500,3
31019969700,31055001600,4
31019969700,31055003100,3
31019969700,31055003600,1
31019969700,31055003800,1
31019969700,31055003900,1
31019969700,31055004000,1
31019969700,31055004400,2
31019969700,31055004700,1
31019969700,31055006505,2
31019969700,31055006701,1
31019969700,31055006704,2
