GEOID,tract_label,median_rent,median_household_income,affordable_rent_estimate,vehicle_households_total,households_without_vehicles,no_vehicle_share,poverty_universe,population_below_poverty,poverty_rate,civilian_labor_force,unemployed_population,unemployment_rate,race_ethnicity_total,nh_white_population,nh_black_population,nh_native_population,nh_asian_population,nh_pacific_population,nh_other_population,nh_two_or_more_population,hispanic_population,nh_white_share,nh_black_share,nh_native_share,nh_asian_share,nh_pacific_share,nh_other_share,nh_two_or_more_share,hispanic_share,people_of_color_share,education_25plus_total,hs_plus_population,bachelors_plus_population,hs_plus_share,bachelors_plus_share,rent_burden_universe,rent_burdened_households,rent_burden_rate,acs_year
31055007472,Census Tract 74.72; Douglas County; Nebraska,2652.0,109398.0,2734.9500000000003,1615.0,0.0,0.0,3940.0,117.0,0.02969543147208122,2354.0,42.0,0.01784197111299915,3966.0,3367.0,159.0,0.0,91.0,0.0,9.0,119.0,221.0,0.8489662128088754,0.040090771558245086,0.0,0.022945032778618254,0.0,0.0022692889561270802,0.03000504286434695,0.055723651033787194,0.1510337871911246,2944.0,2882.0,1649.0,0.9789402173913043,0.5601222826086957,103.0,85.0,0.8252427184466019,2024
31055007473,Census Tract 74.73; Douglas County; Nebraska,,73750.0,1843.75,8.0,0.0,0.0,371.0,246.0,0.6630727762803235,230.0,37.0,0.1608695652173913,809.0,375.0,270.0,41.0,9.0,0.0,0.0,12.0,102.0,0.4635352286773795,0.3337453646477132,0.05067985166872682,0.011124845488257108,0.0,0.0,0.014833127317676144,0.1260815822002472,0.5364647713226205,363.0,363.0,114.0,1.0,0.3140495867768595,8.0,3.0,0.375,2024
31055007474,Census Tract 74.74; Douglas County; Nebraska,3501.0,238793.0,5969.825,652.0,69.0,0.1058282208588957,1547.0,52.0,0.03361344537815126,775.0,42.0,0.05419354838709677,1547.0,1374.0,42.0,4.0,99.0,0.0,0.0,22.0,6.0,0.8881706528765352,0.027149321266968326,0.002585649644473174,0.06399482870071105,0.0,0.0,0.014221073044602456,0.003878474466709761,0.11182934712346482,1103.0,1068.0,779.0,0.9682683590208522,0.7062556663644606,99.0,84.0,0.8484848484848485,2024
31055007504,Census Tract 75.04; Douglas County; Nebraska,988.0,102050.0,2551.25,1725.0,86.0,0.049855072463768114,3766.0,237.0,0.06293149229952204,2074.0,74.0,0.03567984570877531,3809.0,3479.0,42.0,0.0,31.0,0.0,0.0,123.0,134.0,0.9133630874245209,0.011026516145970071,0.0,0.008138619060120767,0.0,0.0,0.03229194014176949,0.0351798372276188,0.08663691257547912,2879.0,2754.0,1391.0,0.9565821465786731,0.4831538728725252,406.0,190.0,0.46798029556650245,2024
31055007505,Census Tract 75.05; Douglas County; Nebraska,1513.0,152301.0,3807.5249999999996,1855.0,34.0,0.018328840970350403,5663.0,299.0,0.052798869856966274,2916.0,38.0,0.013031550068587106,5663.0,4846.0,104.0,28.0,242.0,8.0,24.0,181.0,230.0,0.8557301783506975,0.018364824298075226,0.004944375772558714,0.04273353346282889,0.0014126787921596327,0.004238036376478898,0.03196185767261169,0.04061451527458944,0.14426982164930247,3540.0,3510.0,2091.0,0.9915254237288136,0.5906779661016949,206.0,33.0,0.16019417475728157,2024
31055007506,Census Tract 75.06; Douglas County; Nebraska,1491.0,115500.0,2887.5,1322.0,11.0,0.00832072617246596,3563.0,372.0,0.10440639910188043,1965.0,78.0,0.03969465648854962,3596.0,2980.0,50.0,0.0,161.0,0.0,22.0,224.0,159.0,0.8286985539488321,0.013904338153503892,0.0,0.044771968854282536,0.0,0.006117908787541713,0.06229143492769744,0.044215795328142384,0.17130144605116793,2164.0,2154.0,1228.0,0.9953789279112755,0.5674676524953789,410.0,75.0,0.18292682926829268,2024
31055007508,Census Tract 75.08; Douglas County; Nebraska,1382.0,111889.0,2797.225,1325.0,27.0,0.020377358490566037,3109.0,123.0,0.039562560308780956,1566.0,120.0,0.07662835249042145,3109.0,2822.0,46.0,0.0,12.0,0.0,0.0,144.0,85.0,0.907687359279511,0.014795754261820521,0.0,0.0038597619813444837,0.0,0.0,0.04631714377613381,0.027339980701190092,0.09231264072048895,2434.0,2384.0,985.0,0.9794576828266228,0.40468364831553,222.0,52.0,0.23423423423423423,2024
31055007509,Census Tract 75.09; Douglas County; Nebraska,2205.0,179444.0,4486.099999999999,2936.0,40.0,0.013623978201634877,9420.0,119.0,0.012632696390658175,4613.0,20.0,0.004335573379579449,9420.0,8560.0,8.0,25.0,455.0,0.0,16.0,68.0,288.0,0.9087048832271762,0.0008492569002123143,0.002653927813163482,0.048301486199575375,0.0,0.0016985138004246285,0.007218683651804671,0.030573248407643312,0.09129511677282376,5619.0,5567.0,3951.0,0.9907456842854601,0.7031500266951415,115.0,99.0,0.8608695652173913,2024
31055007514,Census Tract 75.14; Douglas County; Nebraska,1762.0,243857.0,6096.424999999999,1628.0,0.0,0.0,4542.0,75.0,0.016512549537648614,2355.0,23.0,0.009766454352441613,4542.0,3601.0,43.0,0.0,468.0,0.0,0.0,280.0,150.0,0.7928225451343021,0.00946719506825187,0.0,0.10303830911492734,0.0,0.0,0.06164685160722149,0.03302509907529723,0.20717745486569794,2989.0,2936.0,2345.0,0.9822683171629307,0.7845433255269321,161.0,8.0,0.049689440993788817,2024
31055007515,Census Tract 75.15; Douglas County; Nebraska,1302.0,161823.0,4045.5750000000003,1836.0,0.0,0.0,5455.0,56.0,0.010265811182401467,3055.0,14.0,0.004582651391162029,5455.0,4615.0,43.0,2.0,134.0,0.0,0.0,266.0,395.0,0.846012832263978,0.007882676443629697,0.00036663611365719525,0.02456461961503208,0.0,0.0,0.04876260311640697,0.07241063244729606,0.15398716773602195,3215.0,3184.0,2218.0,0.990357698289269,0.689891135303266,307.0,117.0,0.3811074918566775,2024
31055007516,Census Tract 75.16; Douglas County; Nebraska,2154.0,139290.0,3482.25,1503.0,60.0,0.03992015968063872,4349.0,179.0,0.04115888710048287,2540.0,86.0,0.03385826771653543,4390.0,3398.0,66.0,0.0,407.0,0.0,0.0,299.0,220.0,0.7740318906605923,0.015034168564920273,0.0,0.09271070615034169,0.0,0.0,0.06810933940774487,0.05011389521640091,0.2259681093394077,2710.0,2585.0,1553.0,0.9538745387453874,0.5730627306273063,97.0,26.0,0.26804123711340205,2024
31055007517,Census Tract 75.17; Douglas County; Nebraska,2074.0,132242.0,3306.0499999999997,2553.0,0.0,0.0,7150.0,192.0,0.026853146853146853,4240.0,45.0,0.01061320754716981,7212.0,5972.0,80.0,26.0,245.0,0.0,27.0,671.0,191.0,0.8280643372157516,0.011092623405435386,0.0036051026067665,0.033971159179145866,0.0,0.0037437603993344427,0.0930393788130893,0.026483638380476984,0.17193566278424843,4647.0,4606.0,2429.0,0.9911771035076393,0.5227028190230256,501.0,107.0,0.21357285429141717,2024
